track_id,cluster_PCA,cluster_MCA,cluster_CATPCA,cluster_UMAP
48QmG1dfvMuYLxMPt7KSRA,0,0,2,0
1KIJclzEbNhSVw8tiHPWwE,0,3,2,0
7hynhxDoDpgMIV12JuVtNa,0,0,2,1
47EiUVwUp4C9fGccaPuUCS,3,0,3,1
0GjEhVFGZW8afUYGChu3Rr,4,0,0,0
6jjYDGxVJsWS0a5wlVF5vS,0,0,2,0
4jPy3l0RUwlUI9T5XHBW2m,0,0,2,1
7eJMfftS33KTjuF7lTsMCx,4,2,1,1
4bHsxqR3GMrXTxEPLuK5ue,4,2,0,0
3GCdLUSnKSMJhs4Tj6CV3s,0,0,2,0
7AQim7LbvFVZJE3O8TYgf2,0,0,2,1
4r9jkMEnArtWGH2rL2FZl0,0,0,2,0
4pt5fDVTg5GhEvEtlz9dKk,0,0,2,0
08Isz2ETWSBhvIl8UpKYsp,0,0,2,1
4nVBt6MZDDP6tRVdQTgxJg,0,0,2,0
4kbj5MwxO1bq9wjT5g9HaA,0,3,0,0
15JINEqzVMv3SvJTAXAKED,0,2,2,0
6dBUzqjtbnIa1TwYbyw5CM,0,0,2,1
6Z8R6UsFuGXGtiIxiD8ISb,0,0,2,2
5GF0X7GdNmnouKcdhhRmtm,0,2,0,0
0wihfILRNOwE2156Shezc8,0,0,2,1
0QzuaeCEEOV40Pn7IvKEny,3,2,1,0
7xoUc6faLbCqZO6fQEYprd,1,0,3,0
6XO8RlYuJCiI0v3IA48FeJ,4,2,2,1
0sTlGEld0h8kIPZaKDYUf4,1,3,0,0
35wvL50xvKpCHEJPxLOLPI,1,0,3,1
32OlwWuMpZ6b0aN2RZOeMS,0,0,2,0
2xLMifQCjDGFmkHkpNLD9h,0,3,2,0
5aucVLKiumD89mxVCB4zvS,0,0,2,0
5cF0dROlMOK5uNZtivgu50,0,0,2,1
5YbPxJwPfrj7uswNwoF1pJ,0,0,2,1
2DlHlPMa4M17kufBvI2lEN,1,3,3,1
5r43qanLhUCdBj8HN3fa6B,0,0,2,0
2AT8iROs4FQueDv2c8q2KE,4,2,0,1
6TsVhM8qIkWN5cJVDIVbbz,0,0,2,1
0fX4oNGBWO3dSGUZcVdVV2,0,0,2,0
7FIWs0pqAYbP91WWM0vlTQ,0,0,2,1
63WuQOXohQIxOxIFA2K7bR,0,0,2,0
60ynsPSSKe6O3sfwRnIBRf,3,0,1,0
2dpaYNEQHiRxtZbfNsse99,0,0,2,0
2vmfvSoZBFAt9hhRoEByLi,0,0,2,0
0HaRLPnr887lcQM2YQzkff,0,0,2,0
2tpWsVSb9UEmDRxAl1zhX1,0,0,2,1
02jLfqc9gMo8PkHEGHY3OT,0,0,2,1
1mXVgsBdtIVeCLJnSnmtdV,3,2,1,0
7zwn1eykZtZ5LODrf7c0tS,0,0,3,1
3d9DChrdc6BOeFsbrZ3Is0,3,2,1,0
3ZOEytgrvLwQaqXreDs2Jx,0,3,2,0
3afkJSKX0EAMsJXTZnDXXJ,3,2,1,0
2gam98EZKrF9XuOkU13ApN,0,0,2,1
2g6tReTlM2Akp41g0HaeXN,0,0,2,1
3e9HZxeyfWwjeyPAMmWSSQ,0,0,2,0
3O8G8eVrhfXTGttyQ1xVuq,0,0,2,1
3eekarcy7kvN4yt5ZFzltW,3,2,3,1
6MpCaSIOfqBqbMED4kXgNY,0,0,2,0
0U1W2LZVUX7qTm7dDpqxh6,4,2,0,0
228BxWXUYQPJrJYHDLOHkj,0,0,2,0
6GomT970rCOkKAyyrwJeZi,0,0,2,1
6ojZtz3sZr6ynvejLOqgCj,0,0,2,0
6FE2iI43OZnszFLuLtvvmg,0,0,2,0
7EZC6E7UjZe63f1jRmkWxt,1,2,0,0
7yq4Qj7cqayVTp3FF9CWbm,0,2,2,0
0COqiPhxzoWICwFCS4eZcp,1,3,3,1
2Z8WuEywRWYTKe1NybPQEW,0,2,2,0
1TfqLAPs4K3s2rJMoCokcS,0,0,2,1
3Kkjo3cT83cw09VJyrLNwX,0,0,2,0
1QpwvWMQGdOgA8MXXfgs4H,0,0,0,0
3IznIgmXtrUaoPWpQTy5jB,0,3,2,0
3vkQ5DAB1qQMYO4Mr9zJN6,0,0,2,0
4R8BJggjosTswLxtkw8V7P,0,0,2,1
2qOm7ukLyHUXWyR4ZWLwxA,0,0,2,1
7floNISpH8VF4z4459Qo18,0,0,2,0
4fSIb4hdOQ151TILNsSEaF,0,0,2,1
03a359wbiUsjN9h6yzXvmS,0,0,2,0
4cG7HUWYHBV6R6tHn1gxrl,0,0,2,0
